NO,NO,TRAIN,NAME,FROM,DEP,TO,ARR
12152,12152,12152,SAMARSATA EXP   ,HOWRAH JN      ,21:15,LOKMANYATILAK T,07:30
12153,12153,12153,HABIBGANJ EXP   ,LOKMANYATILAK T,16:25,HABIBGANJ      ,05:30
12154,12154,12154,HBJ LTT SUP EXP ,HABIBGANJ      ,18:20,LOKMANYATILAK T,07:30
12155,12155,12155,BHOPAL  EXPRESS ,HABIBGANJ      ,21:05,H NIZAMUDDIN   ,08:05
12156,12156,12156,BHOPAL  EXPRESS ,H NIZAMUDDIN   ,21:00,HABIBGANJ      ,07:05
12157,12157,12157,HUTATMA EXPRESS ,PUNE JN        ,18:00,SOLAPUR JN     ,22:00
12158,12158,12158,HUTATMA EXPRESS ,SOLAPUR JN     ,06:30,PUNE JN        ,10:30
12159,12159,12159,AMI JBP SUP EXP ,AMRAVATI       ,17:45,JABALPUR       ,06:55
12160,12160,12160,JBP AMI SUP EXP ,JABALPUR       ,20:50,AMRAVATI       ,09:45
12161,12161,12161,LASHKAR EXPRESS ,LOKMANYATILAK T,16:25,AGRA CANTT     ,12:55
12162,12162,12162,LASHKAR EXPRESS ,AGRA CANTT     ,23:50,LOKMANYATILAK T,22:45
12163,12163,12163,CHENNAI EXPRESS ,DADAR          ,20:30,CHENNAI EGMORE ,19:45
12164,12164,12164,CHENNAI EXP     ,CHENNAI EGMORE ,06:50,DADAR          ,06:00
12165,12165,12165,LTT BSB SUP EXP ,LOKMANYATILAK T,05:20,VARANASI JN    ,07:05
12166,12166,12166,BSB LTT SUP EXP ,VARANASI JN    ,20:20,LOKMANYATILAK T,21:40
12167,12167,12167,LTT BSB SUP EXP ,LOKMANYATILAK T,00:35,VARANASI JN    ,03:50
12168,12168,12168,BSB LTT SUP EXP ,VARANASI JN    ,10:25,LOKMANYATILAK T,12:30
12169,12169,12169,SUR INTERCITY   ,PUNE JN        ,09:30,SOLAPUR JN     ,13:30
12170,12170,12170,PUNE INTERCITY  ,SOLAPUR JN     ,14:00,PUNE JN        ,18:05
12171,12171,12171,LTT HW AC SUP   ,LOKMANYATILAK T,07:55,HARIDWAR JN    ,13:10
12172,12172,12172,HW LTT AC SF    ,HARIDWAR JN    ,18:50,LOKMANYATILAK T,23:45
12173,12173,12173,UDYOG NAGRI EXP ,LOKMANYATILAK T,16:25,PARTAPGARH JN  ,18:55
12174,12174,12174,UDYOG NAGRI EXP ,PARTAPGARH JN  ,01:50,LOKMANYATILAK T,06:05
12175,12175,12175,CHAMBAL EXP     ,HOWRAH JN      ,17:45,GWALIOR        ,17:10
12176,12176,12176,CHAMBAL EXPRESS ,GWALIOR        ,07:05,HOWRAH JN      ,06:45
12177,12177,12177,CHAMBAL EXP     ,HOWRAH JN      ,17:45,MATHURA JN     ,20:15
12178,12178,12178,CHAMBAL EXPRESS ,MATHURA JN     ,04:15,HOWRAH JN      ,06:45
12179,12179,12179,LJN AGC INTRCIT ,LUCKNOW NE     ,15:45,AGRA CANTT     ,21:55
12180,12180,12180,LJN  INTERCITY  ,AGRA CANTT     ,05:50,LUCKNOW NE     ,11:45
12181,12181,12181,DAYODAYA EXPRESS,JABALPUR       ,20:25,AJMER JN       ,14:20
12182,12182,12182,DAYODAYA EXP    ,AJMER JN       ,15:30,JABALPUR       ,09:20
12183,12183,12183,BPL PBH SUP EXP ,BHOPAL  JN     ,19:20,PARTAPGARH JN  ,09:05
12184,12184,12184,PBH BPL EXPRESS ,PARTAPGARH JN  ,19:10,BHOPAL  JN     ,08:50
12185,12185,12185,REWANCHAL EXP   ,HABIBGANJ      ,22:00,REWA           ,08:00
12186,12186,12186,REWANCHAL EXP   ,REWA           ,20:05,HABIBGANJ      ,06:05
12189,12189,12189,MAHAKAUSHAL EXP ,JABALPUR       ,18:10,H NIZAMUDDIN   ,11:35
12190,12190,12190,MAHAKOSHAL EXP  ,H NIZAMUDDIN   ,16:10,JABALPUR       ,09:35
12191,12191,12191,NDLS JBP SUP EXP,NEW DELHI      ,14:05,JABALPUR       ,07:15
12192,12192,12192,JBP NDLS SUP EX ,JABALPUR       ,17:45,NEW DELHI      ,11:40
12193,12193,12193,YPR JBP EXP     ,YESVANTPUR JN  ,15:50,JABALPUR       ,22:15
12194,12194,12194,JBP YPR SUP EXP ,JABALPUR       ,06:45,YESVANTPUR JN  ,13:25
12195,12195,12195,AF AII INTERCITY,AGRA FORT      ,05:05,AJMER JN       ,11:50
12196,12196,12196,AII AF INTERCITY,AJMER JN       ,15:00,AGRA FORT      ,21:30
12197,12197,12197,GWL INTERCITY   ,BHOPAL  JN     ,15:30,GWALIOR        ,23:55
12198,12198,12198,BPL INTERCITY   ,GWALIOR        ,06:15,BHOPAL  JN     ,15:00
12203,12203,12203,GARIB RATH EXP  ,SAHARSA JN     ,15:00,AMRITSAR JN    ,21:00
12205,12205,12205,NDLS DDN AC EXP ,NEW DELHI      ,23:55,DEHRADUN       ,05:40
12206,12206,12206,DDN NDLS AC EXP ,DEHRADUN       ,23:30,NEW DELHI      ,05:15
12217,12217,12217,SAMPARK KRANTHI ,KOCHUVELI      ,09:15,CHANDIGARH     ,15:45
12218,12218,12218,KERLA S KRANTI  ,CHANDIGARH     ,08:55,KOCHUVELI      ,14:45
